id,sceneId,roomId,roomType,nOrigPersImgs,genPersImgIndices
scene_00000_r490854,scene_00000,490854,bedroom,5,0-71
scene_00000_r492165,scene_00000,492165,living room,1,72-143
scene_00000_r485145,scene_00000,485145,bathroom,2,144-215
scene_00000_r485142,scene_00000,485142,dining room,3,216-287
scene_00001_r906326,scene_00001,906326,bathroom,0,0-71
scene_00001_r906322,scene_00001,906322,living room,5,72-143
scene_00001_r906325,scene_00001,906325,undefined,1,144-215
scene_00001_r906324,scene_00001,906324,store room,0,216-287
scene_00001_r906323,scene_00001,906323,bedroom,4,288-359
scene_00002_r2380,scene_00002,2380,bedroom,5,0-71
scene_00002_r382,scene_00002,382,bedroom,4,72-143
scene_00002_r253,scene_00002,253,living room,5,144-215
scene_00002_r711,scene_00002,711,bedroom,5,216-287
scene_00002_r447,scene_00002,447,bathroom,1,288-359
scene_00002_r804,scene_00002,804,kitchen,5,360-431
scene_00002_r3816,scene_00002,3816,bathroom,1,432-503
scene_00003_r184576,scene_00003,184576,kitchen,1,0-71
scene_00003_r184571,scene_00003,184571,living room,5,72-143
scene_00003_r184575,scene_00003,184575,balcony,5,144-215
scene_00003_r184572,scene_00003,184572,bedroom,4,216-287
scene_00003_r184577,scene_00003,184577,bathroom,2,288-359
scene_00003_r184573,scene_00003,184573,bedroom,5,360-431
scene_00003_r184574,scene_00003,184574,study,5,432-503
scene_00004_r415380,scene_00004,415380,living room,5,0-71
scene_00004_r995540,scene_00004,995540,corridor,4,72-143
scene_00005_r834906,scene_00005,834906,undefined,3,0-71
scene_00005_r828572,scene_00005,828572,balcony,1,72-143
scene_00005_r834345,scene_00005,834345,kitchen,4,144-215
scene_00005_r827475,scene_00005,827475,living room,5,216-287
scene_00006_r853668,scene_00006,853668,living room,5,0-71
scene_00007_r141,scene_00007,141,undefined,4,0-71
scene_00007_r358,scene_00007,358,undefined,3,72-143
scene_00007_r2768,scene_00007,2768,undefined,4,144-215
scene_00007_r266,scene_00007,266,undefined,1,216-287
scene_00007_r425,scene_00007,425,undefined,3,288-359
scene_00008_r915952,scene_00008,915952,bedroom,2,0-71
scene_00008_r916164,scene_00008,916164,bedroom,5,72-143
scene_00008_r949416,scene_00008,949416,store room,2,144-215
scene_00008_r917786,scene_00008,917786,living room,5,216-287
scene_00008_r916506,scene_00008,916506,bathroom,3,288-359
scene_00008_r914963,scene_00008,914963,balcony,5,360-431
scene_00008_r929258,scene_00008,929258,bathroom,2,432-503
scene_00008_r919588,scene_00008,919588,kitchen,5,504-575
scene_00008_r916061,scene_00008,916061,bedroom,2,576-647
scene_00008_r926475,scene_00008,926475,balcony,2,648-719
scene_00009_r225,scene_00009,225,bathroom,4,0-71
scene_00009_r324,scene_00009,324,bedroom,4,72-143
scene_00009_r159,scene_00009,159,living room,5,144-215
scene_00010_r846210,scene_00010,846210,bedroom,4,0-71
scene_00010_r843080,scene_00010,843080,kitchen,3,72-143
scene_00010_r843662,scene_00010,843662,bathroom,3,144-215
scene_00010_r844525,scene_00010,844525,bedroom,4,216-287
scene_00010_r846619,scene_00010,846619,balcony,3,288-359
scene_00010_r847172,scene_00010,847172,study,4,360-431
scene_00010_r843531,scene_00010,843531,living room,4,432-503
scene_00011_r436,scene_00011,436,bathroom,2,0-71
scene_00011_r735,scene_00011,735,bedroom,3,72-143
scene_00011_r584,scene_00011,584,living room,5,144-215
scene_00011_r857,scene_00011,857,bedroom,4,216-287
scene_00011_r159,scene_00011,159,kitchen,2,288-359
scene_00012_r322,scene_00012,322,undefined,5,0-71
scene_00013_r150,scene_00013,150,bathroom,5,0-71
scene_00013_r99,scene_00013,99,balcony,5,72-143
scene_00013_r171,scene_00013,171,bedroom,5,144-215
scene_00013_r273,scene_00013,273,living room,5,216-287
scene_00013_r221,scene_00013,221,bedroom,4,288-359
scene_00014_r1182,scene_00014,1182,bathroom,2,0-71
scene_00014_r451,scene_00014,451,living room,4,72-143
scene_00014_r801,scene_00014,801,kitchen,5,144-215
scene_00014_r947,scene_00014,947,bedroom,5,216-287
scene_00014_r864,scene_00014,864,bedroom,4,288-359
scene_00014_r1083,scene_00014,1083,bedroom,5,360-431
scene_00014_r665,scene_00014,665,balcony,3,432-503
scene_00015_r218,scene_00015,218,store room,2,0-71
scene_00015_r188,scene_00015,188,bathroom,4,72-143
scene_00015_r833,scene_00015,833,undefined,0,144-215
scene_00015_r857,scene_00015,857,undefined,0,216-287
scene_00015_r130,scene_00015,130,bedroom,4,288-359
scene_00015_r250,scene_00015,250,living room,5,360-431
scene_00015_r152,scene_00015,152,bedroom,5,432-503
scene_00015_r110,scene_00015,110,bedroom,5,504-575
scene_00015_r236,scene_00015,236,balcony,5,576-647
scene_00015_r92,scene_00015,92,bathroom,3,648-719
scene_00016_r1141,scene_00016,1141,bedroom,5,0-71
scene_00016_r2449,scene_00016,2449,kitchen,5,72-143
scene_00016_r1932,scene_00016,1932,balcony,0,144-215
scene_00016_r1348,scene_00016,1348,bedroom,5,216-287
scene_00016_r6581,scene_00016,6581,bedroom,5,288-359
scene_00016_r704,scene_00016,704,bathroom,4,360-431
scene_00016_r7794,scene_00016,7794,balcony,5,432-503
scene_00016_r2806,scene_00016,2806,study,5,504-575
scene_00016_r1587,scene_00016,1587,bathroom,5,576-647
scene_00016_r143,scene_00016,143,living room,5,648-719
scene_00017_r141,scene_00017,141,bathroom,5,0-71
scene_00018_r1349,scene_00018,1349,bathroom,4,0-71
scene_00018_r1631,scene_00018,1631,bedroom,5,72-143
scene_00018_r1483,scene_00018,1483,living room,5,144-215
scene_00018_r1738,scene_00018,1738,balcony,1,216-287
scene_00018_r204,scene_00018,204,bedroom,5,288-359
scene_00018_r6915,scene_00018,6915,bathroom,3,360-431
scene_00018_r628,scene_00018,628,study,5,432-503
