index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,wnsynsetid,wnsynsetkey,up,front,tags,variantIds,baseVariantId,isCornerPiece,setIds,componentIds
0,Empty,empty,empty,0,void,n03284308,empty.n.01,,,,,,,,
1,Wall,wall,wall,1,wall,n04546855,wall.n.01,,,,,,,,
2,Ceiling,ceiling,ceiling,1,ceiling,n02990373,ceiling.n.01,,,,,,,,
3,Floor,floor,floor,1,floor,n03365592,floor.n.01,,,,,,,,
4,Box,unknown,unknown,2,void,n08632096,unknown.n.01,,,,,,,,
5,100,hanger,hanger,2,cabinet,n03490884,hanger.n.02,,,,,,,,
6,101,range_oven,kitchen_cabinet,2,counter,n04330340,stove.n.01,,,__SYM_REFLECT_LR_APPROX,,,,1,
7,102,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01,,,,,,,,
8,104,desk,desk,2,desk,n03179701,desk.n.01,,,__SYM_REFLECT_LR,,,,,
9,105,desk,desk,2,desk,n03179701,desk.n.01,,,,,,,,
10,106,office_chair,chair,2,chair,n04373704,swivel_chair.n.01,"0,1,0","0,0,-1",__SYM_REFLECT_LR,,,,,
11,107,desk,desk,2,desk,n03179701,desk.n.01,,,,,,,,
12,108,desk,desk,2,desk,n03179701,desk.n.01,,,,,,,,
13,109,coffee_table,table,2,table,n03063968,coffee_table.n.01,,,__SYM_ROTATE_UP_2,,,,,
14,110,television,television,2,television,n04405907,television_receiver.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
15,111,television,television,2,television,n04405907,television_receiver.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
16,112,television,television,2,television,n04405907,television_receiver.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
17,113,television,television,2,television,n04405907,television_receiver.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
18,114,television,television,2,television,n04405907,television_receiver.n.01,"0,1,0","0,0,-1",__SYM_REFLECT_LR_APPROX,,,,,
19,115,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,,,__SYM_REFLECT_LR,,,,,
20,116,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,,,__SYM_REFLECT_LR,,,,,
21,117,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,,,__SYM_REFLECT_LR,,,,,
22,118,hanger,hanger,2,cabinet,n03490884,hanger.n.02,,,__SYM_ROTATE_UP_2,,,,,
23,119,coffee_table,table,2,table,n03063968,coffee_table.n.01,,,__SYM_ROTATE_UP_4,,,,,
24,120,laptop,computer,2,television,n03642806,laptop.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
25,121,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,,
26,122,single_hinge_door,door,2,door,n03221720,door.n.01,"0,1,0","0,0,1",,"122,122_0",,,,
27,123,hanger,hanger,2,cabinet,n03490884,hanger.n.02,,,__SYM_REFLECT_LR,,,,,
28,124,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,,,__SYM_REFLECT_LR,,,,,
29,125,kitchen_sink,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,"__SYM_REFLECT_C1_APPROX,__CORNER_C1",,,1,1,
30,126,window,window,2,window,n04587648,window.n.01,,,,,,,,
31,127,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,,,__SYM_REFLECT_LR,,,,,
32,128,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
33,129,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,,,,,,,,
34,130,plant,plant,2,otherprop,n00017222,plant.n.02,,,__SYM_ROTATE_UP_INF,,,,,
35,131,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01,,,,,,,,
36,132,sink,sink,2,sink,n04223580,sink.n.01,,,__SYM_REFLECT_LR,,,,,
37,133,double_hinge_door,door,2,door,n03221720,door.n.01,"0,1,0","0,0,1",__SYM_REFLECT_LR_APPROX,"133,133_0",,,,
38,134,table_and_chair,table_and_chair,2,table,,,,,__SYM_ROTATE_UP_2,,,,,
39,135,shower,shower,2,shower_curtain,n04208936,shower.n.01,,,"__SYM_REFLECT_C1_APPROX,__CORNER_C1",,,1,,
40,136,fish_tank,toy,2,otherprop,n02732072,aquarium.n.01,,,"__SYM_REFLECT_C1,__CORNER_C1",,,1,,
41,137,kitchen_sink,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,"__SYM_REFLECT_C1_APPROX,__CORNER_C1",,,1,1,
42,138,kitchen_sink,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,"__SYM_REFLECT_C1_APPROX,__CORNER_C1",,,1,1,
43,139,shower,shower,2,shower_curtain,n04208936,shower.n.01,,,"__SYM_REFLECT_C2,__CORNER_C2",,,1,,
44,140,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
45,141,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,,,__SYM_REFLECT_LR,,,,,
46,142,straight_chair,chair,2,chair,n04331277,straight_chair.n.01,"0,1,0","0,0,-1",__SYM_REFLECT_LR,,,,,
47,143,piano,music,2,otherprop,n03928116,piano.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
48,144,mirror,mirror,2,mirror,n03773035,mirror.n.01,,,__SYM_ROTATE_FRONT_2,,,,,
49,145,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__SYM_ROTATE_UP_2,,,,,
50,146,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,"0,1,0","1,0,0",__SYM_REFLECT_LR,,,,,
51,147,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,,,,,,
52,148,book,books,2,otherprop,n02870526,book.n.11,,,__SYM_ROTATE_LR_2,,,,,
53,149,cup,kitchenware,2,otherprop,n03797390,mug.n.04,,,__SYM_REFLECT_FB,,,,,
54,150,bidet,toilet,2,toilet,n02836174,bidet.n.01,,,__SYM_REFLECT_LR,,,,,
55,151,stairs,stairs,1,floor,n04314914,step.n.04,,,__CORNER_C3,,,,,
56,152,stairs,stairs,1,floor,n04314914,step.n.04,,,__SYM_REFLECT_LR,,,,,
57,153,rug,rug,2,floor_mat,n04118021,rug.n.01,,,__SYM_ROTATE_UP_2,,,,,
58,154,pan,kitchenware,2,otherprop,n03880531,pan.n.01,,,__SYM_REFLECT_FB,,,,,
59,155,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__SYM_REFLECT_LR,,,,,
60,156,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__SYM_REFLECT_LR,,,,,
61,157,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__CORNER_C1,,,,100,
62,166,armchair,chair,2,chair,n02738535,armchair.n.01,,,__SYM_REFLECT_LR,,,,,
63,167,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,"__CORNER_C1,__CORNER_C2",,,,147,
64,168,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__CORNER_C2,,,,100,
65,169,armchair,chair,2,sofa,n03262932,easy_chair.n.01,,,__SYM_REFLECT_LR,,,,147,
66,170,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__SYM_REFLECT_LR,,,,,
67,171,coffee_table,table,2,table,n03063968,coffee_table.n.01,,,__SYM_ROTATE_UP_2,,,,,
68,172,coffee_table,table,2,table,n03063968,coffee_table.n.01,,,__SYM_REFLECT_FB,,,,,
69,173,coffee_table,table,2,table,n03063968,coffee_table.n.01,,,__SYM_ROTATE_UP_2,,,,,
70,174,coffee_table,table,2,table,n03063968,coffee_table.n.01,,,__SYM_ROTATE_UP_3,,,,,
71,175,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,,,__SYM_REFLECT_LR,,,,,
72,176,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,,,__SYM_REFLECT_LR,,,,,
73,178,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,,,,,,,,
74,179,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,,,__SYM_REFLECT_LR,,,,,
75,180,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,,,__SYM_REFLECT_LR,,,,,
76,181,sink,sink,2,sink,n04223580,sink.n.01,,,,,,,,
77,182,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,,,,,,
78,183,sink,sink,2,sink,n04223580,sink.n.01,,,__SYM_REFLECT_LR,,,,,
79,184,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,,,,,,
80,185,game_table,recreation,2,otherprop,n04379243,table.n.02,,,__SYM_ROTATE_UP_2,,,,,
81,186,sink,sink,2,sink,n04223580,sink.n.01,,,__SYM_REFLECT_LR,,,,,
82,187,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__CORNER_C2,,,1,,
83,188,shelving,shelving,2,shelves,n04190052,shelf.n.01,,,,,,,,
84,189,computer,computer,2,television,n03082979,computer.n.01,,,,,,,,
85,190,baby_bed,bed,2,bed,n02766320,baby_bed.n.01,"0,1,0","1,0,0",__SYM_REFLECT_LR,,,,,
86,191,bookshelf,shelving,2,bookshelf,n02871439,bookshelf.n.01,,,__SYM_REFLECT_LR,,,,,
87,192,shelving,shelving,2,shelves,n04190052,shelf.n.01,,,,,,,,
88,193,shelving,shelving,2,shelves,n04190052,shelf.n.01,,,,,,,,
89,194,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,,
90,195,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
91,196,armchair,chair,2,chair,n04099969,rocking_chair.n.01,,,__SYM_REFLECT_LR,,,,,
92,197,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
93,198,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,,,__SYM_ROTATE_UP_2,,,,,
94,199,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,,,__SYM_REFLECT_LR,,,,,
95,200,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,,,,,,,,
96,201,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,,,,,,,,
97,202,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,,,__SYM_REFLECT_LR,,,,,
98,203,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,,,__SYM_REFLECT_LR,,,,,
